iteration,puzzle,mode,seeded_ok,reward,plan_len,ref_len,improved,window_validity
0,single_transport,relaxed,0,0.000,3,3,0,0.00
1,single_transport,relaxed,0,0.000,3,3,0,0.00
2,single_transport,relaxed,0,0.000,3,3,0,0.00
3,single_transport,relaxed,0,0.000,3,3,0,0.00
4,single_transport,seeded,1,1.600,3,3,6,0.20
5,single_transport,relaxed,0,0.000,3,3,0,0.17
6,single_transport,relaxed,0,0.000,3,3,0,0.14
7,single_transport,seeded,1,1.000,3,3,0,0.25
8,single_transport,seeded,1,1.000,3,3,0,0.33
9,single_transport,relaxed,0,0.000,3,3,0,0.30
10,single_transport,seeded,1,1.000,3,3,0,0.40
11,single_transport,relaxed,0,0.000,3,3,0,0.40
12,single_transport,seeded,1,1.000,3,3,0,0.50
13,single_transport,relaxed,0,0.000,3,3,0,0.50
14,single_transport,seeded,1,1.000,3,3,0,0.50
15,single_transport,seeded,1,1.000,3,3,0,0.60
16,single_transport,relaxed,0,0.000,3,3,0,0.60
17,single_transport,seeded,1,1.000,3,3,0,0.60
18,single_transport,seeded,1,1.000,3,3,0,0.60
19,single_transport,seeded,1,1.000,3,3,0,0.70
20,single_transport,seeded,1,1.000,3,3,0,0.70
21,single_transport,seeded,1,1.000,3,3,0,0.80
22,single_transport,seeded,1,1.000,3,3,0,0.80
23,single_transport,seeded,1,1.000,3,3,0,0.90
24,single_transport,seeded,1,1.000,3,3,0,0.90
25,single_transport,seeded,1,1.000,3,3,0,0.90
26,single_transport,seeded,1,1.000,3,3,0,1.00
27,single_transport,seeded,1,1.000,3,3,0,1.00
28,single_transport,seeded,1,1.000,3,3,0,1.00
29,single_transport,seeded,1,1.000,3,3,0,1.00
30,single_transport,relaxed,0,0.000,3,3,0,0.90
31,single_transport,relaxed,0,0.000,3,3,0,0.80
32,single_transport,seeded,1,1.000,3,3,0,0.80
33,single_transport,seeded,1,1.000,3,3,0,0.80
34,single_transport,seeded,1,1.000,3,3,0,0.80
35,single_transport,seeded,1,1.000,3,3,0,0.80
36,single_transport,seeded,1,1.000,3,3,0,0.80
37,single_transport,seeded,1,1.000,3,3,0,0.80
38,single_transport,seeded,1,1.000,3,3,0,0.80
39,single_transport,seeded,1,1.000,3,3,0,0.80
40,single_transport,seeded,1,1.000,3,3,0,0.90
41,single_transport,relaxed,0,0.000,3,3,0,0.90
42,single_transport,seeded,1,1.000,3,3,0,0.90
43,single_transport,seeded,1,1.000,3,3,0,0.90
44,single_transport,seeded,1,1.000,3,3,0,0.90
45,single_transport,seeded,1,1.000,3,3,0,0.90
46,single_transport,seeded,1,1.000,3,3,0,0.90
47,single_transport,relaxed,0,0.000,3,3,0,0.80
48,single_transport,seeded,1,1.000,3,3,0,0.80
49,single_transport,seeded,1,1.000,3,3,0,0.80
50,single_transport,seeded,1,1.000,3,3,0,0.80
51,single_transport,seeded,1,1.000,3,3,0,0.90
52,single_transport,seeded,1,1.000,3,3,0,0.90
53,single_transport,seeded,1,1.000,3,3,0,0.90
54,single_transport,seeded,1,1.000,3,3,0,0.90
55,single_transport,seeded,1,1.000,3,3,0,0.90
56,single_transport,seeded,1,1.000,3,3,0,0.90
57,single_transport,seeded,1,1.000,3,3,0,1.00
58,single_transport,seeded,1,1.000,3,3,0,1.00
59,single_transport,seeded,1,1.000,3,3,0,1.00
60,single_transport,seeded,1,1.000,3,3,0,1.00
61,single_transport,seeded,1,1.000,3,3,0,1.00
62,single_transport,seeded,1,1.000,3,3,0,1.00
63,single_transport,seeded,1,1.000,3,3,0,1.00
64,single_transport,seeded,1,1.000,3,3,0,1.00
65,single_transport,seeded,1,1.000,3,3,0,1.00
66,single_transport,seeded,1,1.000,3,3,0,1.00
67,single_transport,seeded,1,1.000,3,3,0,1.00
68,single_transport,seeded,1,1.000,3,3,0,1.00
69,single_transport,seeded,1,1.000,3,3,0,1.00
70,single_transport,seeded,1,1.000,3,3,0,1.00
71,single_transport,relaxed,0,0.000,3,3,0,0.90
72,single_transport,seeded,1,1.000,3,3,0,0.90
73,single_transport,seeded,1,1.000,3,3,0,0.90
74,single_transport,seeded,1,1.000,3,3,0,0.90
75,single_transport,seeded,1,1.000,3,3,0,0.90
76,single_transport,seeded,1,1.000,3,3,0,0.90
77,single_transport,seeded,1,1.000,3,3,0,0.90
78,single_transport,seeded,1,1.000,3,3,0,0.90
79,single_transport,seeded,1,1.000,3,3,0,0.90
0,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
1,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
2,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
3,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
4,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
5,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
6,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
7,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
8,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
9,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
10,two_atom_bond,relaxed,0,0.000,11,11,0,0.00
11,two_atom_bond,seeded,1,1.600,11,11,6,0.10
12,two_atom_bond,relaxed,0,0.000,11,11,0,0.10
13,two_atom_bond,seeded,1,1.000,11,11,0,0.20
14,two_atom_bond,relaxed,0,0.000,11,11,0,0.20
15,two_atom_bond,relaxed,0,0.000,11,11,0,0.20
16,two_atom_bond,seeded,1,1.000,11,11,0,0.30
17,two_atom_bond,seeded,1,1.000,11,11,0,0.40
18,two_atom_bond,relaxed,0,0.000,11,11,0,0.40
19,two_atom_bond,seeded,1,1.000,11,11,0,0.50
20,two_atom_bond,relaxed,0,0.000,11,11,0,0.50
21,two_atom_bond,seeded,1,1.000,11,11,0,0.50
22,two_atom_bond,seeded,1,1.000,11,11,0,0.60
23,two_atom_bond,seeded,1,1.000,11,11,0,0.60
24,two_atom_bond,seeded,1,1.000,11,11,0,0.70
25,two_atom_bond,seeded,1,1.000,11,11,0,0.80
26,two_atom_bond,relaxed,0,0.000,11,11,0,0.70
27,two_atom_bond,seeded,1,1.000,11,11,0,0.70
28,two_atom_bond,seeded,1,1.000,11,11,0,0.80
29,two_atom_bond,relaxed,0,0.000,11,11,0,0.70
30,two_atom_bond,seeded,1,1.000,11,11,0,0.80
31,two_atom_bond,seeded,1,1.000,11,11,0,0.80
32,two_atom_bond,relaxed,0,0.000,11,11,0,0.70
33,two_atom_bond,seeded,1,1.000,11,11,0,0.70
34,two_atom_bond,seeded,1,1.000,11,11,0,0.70
35,two_atom_bond,seeded,1,1.000,11,11,0,0.70
36,two_atom_bond,seeded,1,1.000,11,11,0,0.80
37,two_atom_bond,relaxed,0,0.000,11,11,0,0.70
38,two_atom_bond,seeded,1,1.000,11,11,0,0.70
39,two_atom_bond,seeded,1,1.000,11,11,0,0.80
40,two_atom_bond,seeded,1,1.000,11,11,0,0.80
41,two_atom_bond,seeded,1,1.000,11,11,0,0.80
42,two_atom_bond,seeded,1,1.000,11,11,0,0.90
43,two_atom_bond,seeded,1,1.000,11,11,0,0.90
44,two_atom_bond,seeded,1,1.000,11,11,0,0.90
45,two_atom_bond,seeded,1,1.000,11,11,0,0.90
46,two_atom_bond,seeded,1,1.000,11,11,0,0.90
47,two_atom_bond,seeded,1,1.000,11,11,0,1.00
48,two_atom_bond,seeded,1,1.000,11,11,0,1.00
49,two_atom_bond,seeded,1,1.000,11,11,0,1.00
50,two_atom_bond,seeded,1,1.000,11,11,0,1.00
51,two_atom_bond,seeded,1,1.000,11,11,0,1.00
52,two_atom_bond,seeded,1,1.000,11,11,0,1.00
53,two_atom_bond,seeded,1,1.000,11,11,0,1.00
54,two_atom_bond,relaxed,0,0.000,11,11,0,0.90
55,two_atom_bond,seeded,1,1.000,11,11,0,0.90
56,two_atom_bond,seeded,1,1.000,11,11,0,0.90
57,two_atom_bond,seeded,1,1.000,11,11,0,0.90
58,two_atom_bond,relaxed,0,0.000,11,11,0,0.80
59,two_atom_bond,seeded,1,1.000,11,11,0,0.80
60,two_atom_bond,seeded,1,1.000,11,11,0,0.80
61,two_atom_bond,seeded,1,1.000,11,11,0,0.80
62,two_atom_bond,seeded,1,1.000,11,11,0,0.80
63,two_atom_bond,seeded,1,1.000,11,11,0,0.80
